"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
86614 2830 491 293.673129070568 448801 22658798 "1" 0.0560575913025992 0.00600467256148323
86826 3 3 1185 6 1 "1" 1 1
87127 2887 491 514.248335091429 220883 9464948 "1" 0.0265105770821046 0.00236254753060202
87370 557 479 201.640122647588 135021 6690276 "1" 0.435984784883045 0.233545936311264
87534 1145 479 471.139170764417 178960 7069866 "1" 0.136623202125386 0.0283324865486266
87664 293 285 459.546888723735 59204 2290363 "1" 0.69199121043527 0.55196572281831
87716 615 475 241.302929926845 134645 7936700 "1" 0.356571595031911 0.205725086513689
87784 2434 489 208.606094646144 564397 37047860 "1" 0.0953063887028569 0.0154343421603217
88043 2144 469 523.061665121858 201751 4875361 "1" 0.0439105365612442 0.00297229294556638
88201 3 3 278.333333333333 6 1 "1" 1 1
88222 1799 491 811.769360319005 305199 13765462 "1" 0.094354421347665 0.0142093140958264
88378 2857 491 320.010476964413 698962 43360698 "1" 0.0856613909126829 0.0111679370926412
88723 1894 491 493.502075181477 370570 14404248 "1" 0.103356946143492 0.0127406070059162
88735 13 12 418.294642857143 112 138 "1" 0.717948717948718 0.482517482517482
89052 3 3 293.666666666667 6 1 "1" 1 1
89352 794 477 534.124055924404 170802 11516921 "1" 0.271268435078981 0.138569856386886
89423 2259 490 636.3529542915 381242 14605260 "1" 0.0747412867965202 0.00761182535645618
89456 3 3 936 6 1 "1" 1 1
89464 3910 491 301.433927497889 460759 18300488 "1" 0.0301461183091809 0.00183830233260423
89573 2234 491 313.736861010478 389756 24918631 "1" 0.0781305565055141 0.0134279386167488
89703 1699 487 383.23240144283 266698 11902675 "1" 0.0924461212200622 0.0145875688466903
89855 796 490 2974.72349987998 195801 13421311 "1" 0.309410258841377 0.160267510739382
89864 125 123 422.045373298501 7273 68753 "1" 0.469225806451613 0.216374508261212
90029 3177 489 340.519432210534 359429 11846021 "1" 0.0356217626850418 0.00221861686695333
90474 123 122 527.475714285714 3500 27485 "1" 0.233240037318406 0.0908231748622865
90479 549 427 360.845387371249 133980 7830578 "1" 0.445335247895975 0.285499164092442
90638 1005 490 265.276708466276 269540 13128861 "1" 0.267130483042953 0.0778354773344236
90911 1369 490 899.166754179909 325665 16154976 "1" 0.173892776133174 0.0378616474707946
