"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "147" 10 10 203.2 5 5
"NO" "1470" 1 0 55 2 2
"NO" "1471" 6 4 166.5 4 4
"NO" "1472" 10 10 364.9 5 5
"NO" "1473" 4 1 233 4 4
"NO" "1474" 13 13 167.923076923077 6 5
"NO" "1475" 10 10 304.4 5 5
"NO" "1476" 9 7 104.555555555556 5 5
"NO" "1477" 77 212 112.727272727273 19 3
"NO" "1478" 1 0 155 2 2
"NO" "1479" 1 0 549 2 1
"NO" "148" 10 10 186.1 5 5
"NO" "1480" 3 1 104 3 1
"NO" "1481" 4 1 73 4 4
"NO" "1482" 8 5 80 5 5
"YES" "1483" 10 10 228.5 5 5
"NO" "1484" 6 2 90 5 1
"NO" "1485" 3 1 103.333333333333 3 3
"NO" "1486" 1 0 75 2 2
"NO" "1487" 1 0 93 2 2
"NO" "1488" 1 0 132 2 2
"NO" "1489" 3 1 124.333333333333 3 3
"NO" "149" 10 10 111 5 5
"NO" "1490" 1 0 229 2 2
"NO" "1491" 6 4 90.8333333333333 4 4
"NO" "1492" 3 1 137.333333333333 3 3
"NO" "1493" 6 1 82 5 5
"NO" "1494" 1 0 208 2 2
"NO" "1495" 1 0 109 2 2
"NO" "1496" 3 1 66.6666666666667 3 3
"NO" "1497" 2 0 129.5 3 2
"NO" "1498" 1 0 114 2 2
"NO" "1499" 6 4 83.3333333333333 4 4
"NO" "15" 466 4305 173.208154506438 32 5
"NO" "150" 15 20 438.333333333333 6 5
"NO" "1500" 1 0 50 2 1
"NO" "1501" 1 0 109 2 2
"NO" "1502" 1 0 127 2 2
"NO" "1503" 5 2 204.4 4 4
"NO" "1504" 15 20 994.2 6 5
"NO" "1505" 9 7 364.111111111111 5 5
"YES" "1506" 10 10 564.9 5 5
"NO" "1507" 21 35 156 7 3
"NO" "1508" 1 0 75 2 1
"NO" "1509" 1 0 39 2 2
"NO" "151" 27 32 204.444444444444 10 1
"NO" "1510" 10 10 153.3 5 5
"NO" "1511" 3 1 390.333333333333 3 3
"YES" "1512" 10 10 205.4 5 5
"NO" "1513" 10 10 229.1 5 5
"NO" "1514" 10 10 189.1 5 5
"NO" "1515" 15 10 104 9 4
"NO" "1516" 15 20 185.266666666667 6 1
"NO" "1517" 3 0 84 4 1
"NO" "1518" 21 35 345.904761904762 7 4
"NO" "1519" 3 1 194.333333333333 3 3
"NO" "152" 260 1618 294.592307692308 27 3
"NO" "1520" 10 10 230.7 5 5
"NO" "1521" 7 4 221.857142857143 5 5
"NO" "1522" 10 10 244.3 5 5
"NO" "1523" 1 0 59 2 1
"NO" "1524" 3 1 129 3 3
"NO" "1525" 29 41 203.379310344828 11 5
"NO" "1526" 7 3 265.428571428571 5 5
"NO" "1527" 27 31 514.62962962963 11 5
"NO" "1528" 40 55 123.1 14 5
"NO" "1529" 1 0 185 2 2
"NO" "153" 21 35 321.761904761905 7 5
"NO" "1530" 91 364 486.758241758242 14 3
"NO" "1531" 30 41 187.933333333333 11 5
"NO" "1532" 10 10 1080.5 5 5
"NO" "1533" 1 0 381 2 2
"NO" "1534" 10 10 218.3 5 5
"NO" "1535" 64 91 1264.171875 18 5
"YES" "1536" 10 10 132.6 5 5
"NO" "1537" 3 1 89.3333333333333 3 1
"NO" "1538" 3 1 123 3 3
"YES" "1539" 10 10 436.6 5 5
"NO" "154" 31 47 144.193548387097 10 5
"NO" "1540" 10 10 124.9 5 5
"NO" "1541" 1 0 77 2 2
"NO" "1542" 6 4 291.166666666667 4 2
"NO" "1543" 63 69 103.666666666667 27 5
"NO" "1544" 1 0 142 2 2
"NO" "1545" 3 1 208.666666666667 3 3
"NO" "1546" 10 10 137.9 5 5
"NO" "1547" 3 1 169.333333333333 3 3
"NO" "1548" 6 4 198.166666666667 4 1
"NO" "1549" 3 1 191.333333333333 3 3
"NO" "155" 6 2 125.333333333333 5 1
"NO" "1550" 10 10 181 5 5
"YES" "1551" 10 10 265.5 5 5
"YES" "1552" 10 10 158.4 5 5
"YES" "1553" 13 11 196.384615384615 7 5
"NO" "1554" 2 0 82 3 3
"NO" "1555" 10 10 194.6 5 5
"NO" "1556" 3 1 126.333333333333 3 3
"NO" "1557" 10 10 103.8 5 5
"NO" "1558" 35 63 85.4571428571429 11 5
"NO" "1559" 4 1 325.5 4 3
"NO" "156" 3 1 227.333333333333 3 3
"NO" "1560" 3 1 355 3 3
"YES" "1561" 61 99 143.540983606557 18 5
"NO" "1562" 43 54 353 15 5
"NO" "1563" 10 10 207.7 5 5
"NO" "1564" 2 0 80 3 1
"NO" "1565" 376 864 252.837765957447 89 5
"NO" "1566" 15 20 106.133333333333 6 5
"NO" "1567" 3 1 204.666666666667 3 3
